date,symbol_id,exchange_id,open_price,high_price,low_price,close_price,volume,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
2020-01-02,1,1,7195.24,7255.0,7175.15,7200.85,16792.388165,121214452.11606228,194010,8946.955535,64597785.21233434
2020-01-03,1,1,7200.77,7212.5,6924.74,6965.71,31951.483932,225982341.3011403,302667,15141.61134,107060829.07806464
2020-01-04,1,1,6965.49,7405.0,6871.04,7344.96,68428.500451,495098582.9620354,519854,35595.496273,257713113.8517286
2020-01-05,1,1,7345.0,7404.0,7272.21,7354.11,29987.974977,219874240.9399481,279370,16369.382248,120035111.72407165
2020-01-06,1,1,7354.19,7495.0,7318.0,7358.75,38331.085604,284848683.7891762,329209,19455.369564,144600094.38965073
2020-01-07,1,1,7357.64,7795.34,7346.76,7758.0,54635.695316,413330481.2260492,449937,28853.76777,218411610.65942463
2020-01-08,1,1,7758.9,8207.68,7723.71,8145.28,91171.684661,724202791.1429626,685315,46192.111549,366866967.6139318
2020-01-09,1,1,8145.92,8455.0,7870.0,8055.98,112622.64264,926410232.6045058,830375,55071.109514,453284250.4545396
2020-01-10,1,1,8054.72,8055.96,7750.0,7817.76,64239.51983,507258250.4748796,478800,31645.759221,249899679.33440104
2020-01-11,1,1,7817.74,8199.0,7672.0,8197.02,82406.777448,652774220.388437,606101,42361.755307,335845385.67483306
2020-01-12,1,1,8198.86,8286.34,8003.16,8020.01,54810.032667,445034349.56470203,469131,27916.124974,226716001.44288608
2020-01-13,1,1,8020.01,8197.0,7960.0,8184.98,38131.494336,309351920.45885,350662,19718.541096,159972663.9929187
2020-01-14,1,1,8184.97,8196.0,8055.89,8110.34,31159.755683,252656965.35815012,289144,15215.226501,123407351.91807935
2020-01-15,1,1,8110.34,8880.0,8105.54,8810.01,120399.126742,1032735180.8658738,915328,62492.096676,536081638.0541857
2020-01-16,1,1,8814.64,8916.48,8564.0,8821.41,84816.297606,743712237.2790816,764048,42493.551026,372770745.1792992
2020-01-17,1,1,8820.01,8859.81,8586.0,8720.01,51991.074284,451752380.2810811,543064,25996.30135,225914888.37777233
2020-01-18,1,1,8720.15,9041.65,8672.44,8913.28,70897.737377,629568740.707009,676403,36139.808845,320997160.95891666
2020-01-19,1,1,8913.27,8988.88,8806.38,8915.96,38294.746545,340852837.9160803,458182,19421.295313,172895403.23974317
2020-01-20,1,1,8915.09,9198.98,8466.0,8701.7,70676.889259,623950864.2762928,615665,33655.943241,297282818.0931591
2020-01-21,1,1,8701.72,8746.99,8521.28,8642.35,38896.639746,336447837.0018059,385006,19453.863782,168293007.48754647
2020-01-22,1,1,8642.35,8789.0,8488.0,8736.03,36494.687659,316056704.984738,365621,18731.871637,162303157.94279355
2020-01-23,1,1,8736.04,8818.0,8590.0,8682.36,29080.557138,252638888.2149255,317424,14477.157512,125794389.99554266
2020-01-24,1,1,8682.77,8691.81,8306.39,8404.52,48165.944597,407428808.675337,464805,23287.712444,196965082.0404137
2020-01-25,1,1,8404.52,8528.02,8238.0,8439.0,41687.529529,349874174.79003936,407271,21293.489586,178752179.11477745
2020-01-26,1,1,8438.99,8451.26,8254.9,8340.58,25521.157932,212869245.6358978,283118,13076.752786,109098245.22427255
2020-01-27,1,1,8340.01,8618.13,8293.66,8615.0,31130.485164,263941925.272999,332612,15797.911267,133936210.1435635
2020-01-28,1,1,8614.39,9000.0,8535.0,8907.57,53973.542996,473194952.8044688,514196,28592.326521,250794158.80919072
2020-01-29,1,1,8907.57,9400.0,8862.4,9374.21,74584.853765,676593159.4823396,616678,38852.363246,352558461.2153821
2020-01-30,1,1,9375.34,9449.24,9216.0,9301.53,53864.065122,503188568.83635783,492545,26615.651329,248688826.41119042
2020-01-31,1,1,9301.57,9578.0,9204.44,9513.21,60626.744259,569652869.8196837,529570,30852.55545,290043577.4392868
2020-02-01,1,1,9511.52,9530.22,9210.01,9352.89,45552.022352,425779010.40653664,428547,22482.470899,210150300.2222744
2020-02-02,1,1,9351.71,9464.53,9281.0,9384.61,28578.067354,268137739.9933375,334972,14679.126305,137764121.89168733
2020-02-03,1,1,9384.41,9477.03,9120.0,9331.51,45690.91254,428064088.6904683,446558,22588.40606,211808205.79156947
2020-02-04,1,1,9331.59,9618.79,9234.0,9292.24,50892.133451,476379993.4924724,492124,24781.397696,232065946.53854197
2020-02-05,1,1,9291.35,9350.0,9093.01,9197.02,53308.175266,491136137.2107625,528930,26103.432307,240571508.24015158
2020-02-06,1,1,9197.02,9744.45,9177.22,9612.04,64870.415615,613540574.7818311,661758,35375.605202,334620486.13736695
