alpha3_code,date,name
ABW,2015-01-01,New Year's Day
ABW,2015-01-25,Betico Day
ABW,2015-02-16,Carnival Monday
ABW,2015-03-18,National Anthem and Flag Day
ABW,2015-04-03,Good Friday
ABW,2015-04-06,Easter Monday
ABW,2015-04-27,King's Day
ABW,2015-05-01,Labor Day
ABW,2015-05-14,Ascension Day
ABW,2015-12-25,Christmas Day
ABW,2015-12-26,Second Day of Christmas
ABW,2016-01-01,New Year's Day
ABW,2016-01-25,Betico Day
ABW,2016-02-08,Carnival Monday
ABW,2016-03-18,National Anthem and Flag Day
ABW,2016-03-25,Good Friday
ABW,2016-03-28,Easter Monday
ABW,2016-04-27,King's Day
ABW,2016-05-02,Labor Day
ABW,2016-05-05,Ascension Day
ABW,2016-12-25,Christmas Day
ABW,2016-12-26,Second Day of Christmas
ABW,2017-01-01,New Year's Day
ABW,2017-01-25,Betico Day
ABW,2017-02-27,Carnival Monday
ABW,2017-03-18,National Anthem and Flag Day
ABW,2017-04-14,Good Friday
ABW,2017-04-17,Easter Monday
ABW,2017-04-27,King's Day
ABW,2017-05-01,Labor Day
ABW,2017-05-25,Ascension Day
ABW,2017-12-25,Christmas Day
ABW,2017-12-26,Second Day of Christmas
ABW,2018-01-01,New Year's Day
ABW,2018-01-25,Betico Day
ABW,2018-02-12,Carnival Monday
ABW,2018-03-18,National Anthem and Flag Day
ABW,2018-03-30,Good Friday
ABW,2018-04-02,Easter Monday
ABW,2018-04-27,King's Day
ABW,2018-05-01,Labor Day
ABW,2018-05-10,Ascension Day
ABW,2018-12-25,Christmas Day
ABW,2018-12-26,Second Day of Christmas
ABW,2019-01-01,New Year's Day
ABW,2019-01-25,Betico Day
ABW,2019-03-04,Carnival Monday
ABW,2019-03-18,National Anthem and Flag Day
ABW,2019-04-19,Good Friday
ABW,2019-04-22,Easter Monday
ABW,2019-04-27,King's Day
ABW,2019-05-01,Labor Day
ABW,2019-05-30,Ascension Day
ABW,2019-12-25,Christmas Day
ABW,2019-12-26,Second Day of Christmas
ABW,2020-01-01,New Year's Day
ABW,2020-01-25,Betico Day
ABW,2020-02-24,Carnival Monday
ABW,2020-03-18,National Anthem and Flag Day
ABW,2020-04-10,Good Friday
ABW,2020-04-13,Easter Monday
ABW,2020-04-27,King's Day
ABW,2020-05-01,Labor Day
ABW,2020-05-21,Ascension Day
ABW,2020-12-25,Christmas Day
ABW,2020-12-26,Second Day of Christmas
ABW,2021-01-01,New Year's Day
ABW,2021-01-25,Betico Day
ABW,2021-02-15,Carnival Monday
ABW,2021-03-18,National Anthem and Flag Day
ABW,2021-04-02,Good Friday
ABW,2021-04-05,Easter Monday
ABW,2021-04-27,King's Day
ABW,2021-05-01,Labor Day
ABW,2021-05-13,Ascension Day
ABW,2021-12-25,Christmas Day
ABW,2021-12-26,Second Day of Christmas
ABW,2022-01-01,New Year's Day
ABW,2022-01-25,Betico Day
ABW,2022-02-28,Carnival Monday
ABW,2022-03-18,National Anthem and Flag Day
ABW,2022-04-15,Good Friday
ABW,2022-04-18,Easter Monday
ABW,2022-04-27,King's Day
ABW,2022-05-02,Labor Day
ABW,2022-05-26,Ascension Day
ABW,2022-12-25,Christmas Day
ABW,2022-12-26,Second Day of Christmas
ABW,2023-01-01,New Year's Day
ABW,2023-01-25,Betico Day
ABW,2023-02-20,Monday before Ash Wednesday
ABW,2023-03-18,National Anthem and Flag Day
ABW,2023-04-07,Good Friday
ABW,2023-04-10,Easter Monday
ABW,2023-04-27,King's Day
ABW,2023-05-01,Labor Day
ABW,2023-05-18,Ascension Day
ABW,2023-12-25,Christmas Day
ABW,2023-12-26,Second Day of Christmas
ABW,2024-01-01,New Year's Day
ABW,2024-01-25,Betico Day
ABW,2024-02-12,Monday before Ash Wednesday
ABW,2024-03-18,National Anthem and Flag Day
ABW,2024-03-29,Good Friday
ABW,2024-04-01,Easter Monday
ABW,2024-04-27,King's Day
ABW,2024-05-01,Labor Day
ABW,2024-05-09,Ascension Day
ABW,2024-12-25,Christmas Day
ABW,2024-12-26,Second Day of Christmas
ABW,2025-01-01,New Year's Day
ABW,2025-01-25,Betico Day
ABW,2025-03-03,Monday before Ash Wednesday
ABW,2025-03-18,National Anthem and Flag Day
ABW,2025-04-18,Good Friday
ABW,2025-04-21,Easter Monday
ABW,2025-04-26,King's Day
ABW,2025-05-01,Labor Day
ABW,2025-05-29,Ascension Day
ABW,2025-12-25,Christmas Day
ABW,2025-12-26,Second Day of Christmas
ABW,2026-01-01,New Year's Day
ABW,2026-01-25,Betico Day
ABW,2026-02-16,Monday before Ash Wednesday
ABW,2026-03-18,National Anthem and Flag Day
ABW,2026-04-03,Good Friday
ABW,2026-04-06,Easter Monday
ABW,2026-04-27,King's Day
ABW,2026-05-01,Labor Day
ABW,2026-05-14,Ascension Day
ABW,2026-12-25,Christmas Day
ABW,2026-12-26,Second Day of Christmas
AFG,2015-01-03,Prophet's Birthday
AFG,2015-02-15,Liberation Day
AFG,2015-03-21,Nowruz
AFG,2015-04-28,Mojahedin's Victory Day
AFG,2015-05-01,International Workers' Day
AFG,2015-06-18,First Day of Ramadan
AFG,2015-07-18,Eid al-Fitr
AFG,2015-07-19,Eid al-Fitr
AFG,2015-07-20,Eid al-Fitr
AFG,2015-08-19,Afghanistan Independence Day
AFG,2015-09-09,Martyrs' Day
AFG,2015-09-22,Day of Arafah
AFG,2015-09-23,Eid al-Adha
AFG,2015-09-24,Eid al-Adha
AFG,2015-09-25,Eid al-Adha
AFG,2015-10-24,Ashura
AFG,2015-12-24,Prophet's Birthday
AFG,2016-02-15,Liberation Day
AFG,2016-03-20,Nowruz
AFG,2016-04-28,Mojahedin's Victory Day
AFG,2016-05-01,International Workers' Day
AFG,2016-06-07,First Day of Ramadan
AFG,2016-07-07,Eid al-Fitr
AFG,2016-07-08,Eid al-Fitr
AFG,2016-07-09,Eid al-Fitr
AFG,2016-08-19,Afghanistan Independence Day
AFG,2016-09-09,Martyrs' Day
AFG,2016-09-12,Day of Arafah
AFG,2016-09-13,Eid al-Adha
AFG,2016-09-14,Eid al-Adha
AFG,2016-09-15,Eid al-Adha
AFG,2016-10-12,Ashura
AFG,2016-12-12,Prophet's Birthday
AFG,2017-02-15,Liberation Day
AFG,2017-03-21,Nowruz
AFG,2017-04-28,Mojahedin's Victory Day
AFG,2017-05-01,International Workers' Day
AFG,2017-05-27,First Day of Ramadan
AFG,2017-06-26,Eid al-Fitr
AFG,2017-06-27,Eid al-Fitr
AFG,2017-06-28,Eid al-Fitr
AFG,2017-08-19,Afghanistan Independence Day
AFG,2017-09-01,Day of Arafah
AFG,2017-09-02,Eid al-Adha
AFG,2017-09-03,Eid al-Adha
AFG,2017-09-04,Eid al-Adha
AFG,2017-09-09,Martyrs' Day
AFG,2017-10-01,Ashura
AFG,2017-12-01,Prophet's Birthday
AFG,2018-02-15,Liberation Day
AFG,2018-03-21,Nowruz
AFG,2018-04-28,Mojahedin's Victory Day
AFG,2018-05-01,International Workers' Day
AFG,2018-05-16,First Day of Ramadan
AFG,2018-06-15,Eid al-Fitr
AFG,2018-06-16,Eid al-Fitr
AFG,2018-06-17,Eid al-Fitr
AFG,2018-08-19,Afghanistan Independence Day
AFG,2018-08-21,Day of Arafah
AFG,2018-08-22,Eid al-Adha
AFG,2018-08-23,Eid al-Adha
AFG,2018-08-24,Eid al-Adha
AFG,2018-09-09,Martyrs' Day
AFG,2018-09-21,Ashura
AFG,2018-11-21,Prophet's Birthday
AFG,2019-02-15,Liberation Day
AFG,2019-03-21,Nowruz
AFG,2019-04-28,Mojahedin's Victory Day
AFG,2019-05-01,International Workers' Day
AFG,2019-05-06,First Day of Ramadan
AFG,2019-06-04,Eid al-Fitr
AFG,2019-06-05,Eid al-Fitr
AFG,2019-06-06,Eid al-Fitr
